"","Pack","CountSightings","IndividualSightings","CountPopSurvey","IndividualPopSurvey","Year","Both","UniqueCount","proportioncams"
"1","JB",5,"UOF1501, UOM2008, JBU2101, JBU2103, JBU2106",8,"JBU2106, UOF1501, UOM2008, JBU2101, JBU2103, JBU2104, JBU2107, UOF1709","2022","UOF1501, UOM2008, JBU2101, JBU2103, JBU2106, JBU2104, JBU2107, UOF1709",8,100
"2","MB",4,"UOM1701, UOM2002, UOF1801, UOM2001",4,"UOF1801, UOM1701, UOM2001, UOM2002","2022","UOM1701, UOM2002, UOF1801, UOM2001",4,100
"3","SL",10,"SLF2002, SLF2003, SLU2101, SLF2102, SLU2103, SLF2001, SLF1501, PCM1601, SLF1901, SLM2104",9,"SLF2003, SLF2001, PCM1601, SLF1501, SLM2005, SLF2002, SLF1901, SLF2102, SLM2104","2022","SLF2002, SLF2003, SLU2101, SLF2102, SLU2103, SLF2001, SLF1501, PCM1601, SLF1901, SLM2104, SLM2005",11,81.8181818181818
"4","WT",1,"UOM1707",8,"UOM1707, UOF1906, WTU2103, WTU2102, WTU2101, WTU2104, UOF2009, WTU2105","2022","UOM1707, UOF1906, WTU2103, WTU2102, WTU2101, WTU2104, UOF2009, WTU2105",8,100
"5","YG",1,"YGM2102",5,"UOM2007, MBF1701, UOF2011, YGM2101, YGM2102","2022","YGM2102, UOM2007, MBF1701, UOF2011, YGM2101",5,100
"6","JB",3,"JBM2107, UOM2008, UOF2101",3,"UOF2101, UOM2004, UOF1709","2023","JBM2107, UOM2008, UOF2101, UOM2004, UOF1709",5,60
"7","MB",2,"UOM2001, UOF1801",3,"UOF1801, UOM2001, YGM2102","2023","UOM2001, UOF1801, YGM2102",3,100
"8","SL",7,"SLF1501, SLP2201, SLP2202, SLP2203, SLP2204, SLP2205, UOM2002",8,"SLF1501, SLF2105, SLP2201, SLP2203, SLP2204, SLP2205, UOM2002, SLP2202","2023","SLF1501, SLP2201, SLP2202, SLP2203, SLP2204, SLP2205, UOM2002, SLF2105",8,100
"9","WT",3,"WTF2204, WTU2102, UOM1707",6,"UOF1906, UOM1707, WTU2105, WTU2104, WTU2202, UOF2009","2023","WTF2204, WTU2102, UOM1707, UOF1906, WTU2105, WTU2104, WTU2202, UOF2009",8,75
"10","YG",2,"MBF1701, YGM2102",5,"MBF1701, YGF2203, UOM2007, YGM2201, YGM2202","2023","MBF1701, YGM2102, YGF2203, UOM2007, YGM2201, YGM2202",6,83.3333333333333
