Trap,x,y
PS1,423483.8042,6383908.967
PS2,423597.6501,6386398.217
PS3,425165.5768,6388765.112
PS5,428023.2917,6392481.238
PS6,431812.3063,6394302.706
PS9,437026.9461,6402649.222
PS11,439252.656,6405986.504
PS12,439455.9293,6403913.578
PS13,441995.5766,6408728.728
PS14,443456.0396,6406084.261
PS15,446135.3775,6408278.451
PS16,447283.3255,6409990.619
PS17,450327.3588,6412204.396
PS18,449303.9698,6408384.757
PS19,452328.6289,6410508.042
PS20,453055.2261,6415147.383
PS21,454468.1361,6411339.402
PS23,432721.4991,6396085.316
PS24,426520.2766,6391585.037
PS25,435128.3781,6404139.8
PS26,434937.2176,6398877.046
PS27,450228.6662,6415141.993
